player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Steven Adams,adamsst01,2020,RS,OKC,3280,1564,0.805964118,1.302363772,2.10832789,1.425620167,0.60760777,2.033227937,0.976180256,1.239050395,2.215230651,3.942969415,3.942969415,0,0.434128178,1.512824512,1.94695269,-0.490307696
Bam Adebayo,adebaba01,2020,RS,MIA,4573,2235,-1.130312796,2.178825772,1.048512976,2.520221851,0.723679054,3.243900905,-0.471835678,1.986696956,1.514861278,4.827047667,4.827047667,0,-0.543516727,1.231127681,0.687610954,-0.758227688
LaMarcus Aldridge,aldrila01,2020,RS,SAS,3648,1754,-0.69721115,0.932574855,0.235363705,-0.889846334,-0.860926655,-1.750772989,-0.814309462,0.661717548,-0.152591914,2.293608781,2.293608781,0,-0.673077762,1.163624768,0.490547005,-1.350680262
Nickeil Alexander-Walker,alexani01,2020,RS,NOP,1098,501,-3.103338717,-1.352977191,-4.456315908,0.802833058,-3.488276298,-2.68544324,-2.4857721,-1.855968067,-4.341740167,-0.40894725,-0.40894725,0,-0.99784614,-2.072421027,-3.070267167,0.52186932
Grayson Allen,allengr01,2020,RS,MEM,1100,498,-0.316388284,-1.399642773,-1.716031057,-1.018663671,-3.134042797,-4.152706468,-0.460144364,-1.843999718,-2.304144081,0.113830269,0.113830269,0,-0.820321511,-2.47492478,-3.295246291,0.492725152
Jarrett Allen,allenja01,2020,RS,BRK,3484,1647,-1.289312946,2.991288031,1.701975085,2.228544661,-0.312750848,1.915793813,-0.625903846,2.461272329,1.835368484,3.829963076,3.829963076,0,-1.021243005,2.153768863,1.132525858,-0.611857705
Kadeem Allen,allenka01,2020,RS,NYK,252,117,0.937432759,4.922048349,5.859481109,2.210358926,-6.463243355,-4.252884429,1.354915718,2.920759851,4.275675569,0.414462518,0.414462518,0,2.020814051,1.410202918,3.431016969,-1.197243744
Al-Farouq Aminu,aminual01,2020,RS,ORL,793,380,-4.240805369,2.213133127,-2.027672242,-9.718044061,5.270279431,-4.44776463,-5.627479208,2.976888841,-2.650590367,0.01919376,0.01919376,0,-5.058407131,2.540548131,-2.517859,-0.420005394
Justin Anderson,anderju01,2020,RS,BRK,38,17,-7.863352171,4.111666241,-3.75168593,-19.92111123,11.93108675,-7.990024484,-10.86292333,5.97942025,-4.883503078,-0.018420937,-0.018420937,0,-10.0847579,1.914195146,-8.170562758,-0.461726616
Kyle Anderson,anderky01,2020,RS,MEM,2489,1140,-1.184539461,1.279817331,0.09527787,-5.881799937,2.269020519,-3.612779418,-2.210968338,1.56592476,-0.645043577,1.225407371,1.225407371,0,-2.927471039,0.886531919,-2.040939121,0.092100719
Ryan Anderson,anderry01,2020,RS,HOU,33,14,-10.9213374,-1.882341366,-12.80367877,7.157074947,6.769316734,13.92639168,-7.77782958,-0.109613387,-7.887442968,-0.03799908,-0.03799908,0,-6.125557047,-1.510765843,-7.63632289,3.621848445
Giannis Antetokounmpo,antetgi01,2020,RS,MIL,3946,1763,5.631649231,3.131111113,8.762760344,2.532006268,6.794749197,9.326755464,5.254452107,3.990124366,9.244576473,10.98408511,10.98408511,0,5.095979393,3.397830658,8.493810051,1.844693853
Kostas Antetokounmpo,antetko01,2020,RS,LAL,12,5,-1.013923499,-18.02315833,-19.03708183,9.33502229,-20.04612563,-10.71110334,1.045905839,-19.71805664,-18.6721508,-0.040108486,-0.040108486,0,-1.656940939,-13.61704787,-15.27398881,-1.277679931
Thanasis Antetokounmpo,antetth01,2020,RS,MIL,214,93,-1.092900293,1.439519028,0.346618734,-4.406881401,0.553454815,-3.853426586,-1.947824726,1.18487722,-0.762947506,0.096197643,0.096197643,0,-1.118623879,0.952885447,-0.165738432,2.07095587
Carmelo Anthony,anthoca01,2020,RS,POR,3385,1623,-2.405317843,-3.377894272,-5.783212115,2.389696775,-3.190448152,-0.800751378,-1.584973094,-3.509959868,-5.094932962,-1.920150985,-1.920150985,0,-1.034159765,-3.283328647,-4.317488412,-1.133383532
